,authors,counts
0,johnswentworth,32
1,dan hendrycks,15
2,adam shimi,15
3,evan hubinger,14
4,steve byrnes,12
5,adam jermyn,11
6,thomasw,10
7,stuart armstrong,10
8,leogao,9
9,marius hobbhahn,9
10,alex turner,8
11,richard ngo,8
12,diffractor,7
13,vivek hebbar,7
14,andrew critch,7
15,nate soares,6
16,ethan perez,6
17,paul bricman,6
18,danielfilan,6
19,neel nanda,6
20,sam bowman,6
21,buck shlegeris,6
22,oliver sourbut,6
23,eliezer yudkowsky,6
24,andreas stuhlmüller,5
25,daniel kokotajlo,5
26,themcdouglas,5
27,avery,5
28,lucius bushnaq,5
29,donald hobson,5
30,oliver zhang,5
31,nostalgebraist,5
32,rohin shah,5
33,jan hendrik kirchner,5
34,logan riggs smith,5
35,abram demski,4
36,zeshen,4
37,luke h miles,4
38,tamsin leake,4
39,quintin pope,4
40,beth barnes,4
41,david scott krueger,4
42,spencer becker-kahn,4
43,jacob hilton,4
44,thane ruthenis,4
45,nick hay,4
46,tamay besiroglu,4
47,ramana kumar,4
48,victoria krakovna,4
49,cullen_okeefe,4
50,ian mckenzie,3
51,connor leahy,3
52,holdenkarnofsky,3
53,nora_ammann,3
54,jesseclifton,3
55,samuel dylan martin,3
56,anthony digiovanni,3
57,charlie steiner,3
58,jungofthewon,3
59,david udell,3
60,janus,3
61,thomas larsen,3
62,evan r. murphy,3
63,jaime sevilla,3
64,anson ho,3
65,ivan vendrov,3
66,rubi j. hudson,3
67,paul christiano,3
68,james.lucassen,2
69,sid black,2
70,lee sharkey,2
71,lucas teixeira,2
72,remember,2
73,david manheim,2
74,peter barnett,2
75,dmz,2
76,self-embedded agent,2
77,connall garrod,2
78,janbrauner,2
79,michaël trazzi,2
80,jeremy gillen,2
81,jamesh,2
82,mark xu,2
83,tom lieberum,2
84,vikrant varma,2
85,lawrence chan,2
86,peter s. park,2
87,stephen fowler,2
88,chris_leong,2
89,daniel herrmann,2
90,ajeya cotra,2
91,jacob steinhardt,2
92,tor økland barstad,2
93,sam marks,2
94,hoagy,2
95,lennart heim,2
96,jan_kulveit,2
97,rob bensinger,2
98,jacques thibodeau,2
99,owain evans,2
100,yitzi litt,2
101,geoffrey irving,2
102,sidney hough,2
103,kevin liu,2
104,francis rhys ward,2
105,lauro langosco,2
106,jan leike,2
107,"matthew ""vaniver"" graves",2
108,ruben bloom,1
109,oliver habryka,1
110,luke stebbing,1
111,justin_dan,1
112,goodgravy,1
113,beren millidge,1
114,crg,1
115,merizian,1
116,ericwinsor,1
117,dan braun,1
118,michael oesterle,1
119,leon lang,1
120,vanessa kosoy,1
121,matthias g. mayer,1
122,filip sondej,1
123,stephen casper,1
124,xuan (tan zhi xuan),1
125,jack parker,1
126,wyatt tessari l'allié,1
127,elifland,1
128,lawrence phillips,1
129,shariq hashme,1
130,zachary kenton,1
131,owen dudney,1
132,gunnar zarncke,1
133,artaxerxes,1
134,linda linsefors,1
135,mary phuong,1
136,fabien,1
137,nickyp,1
138,alex gray,1
139,tamera,1
140,viktoriamalyasova,1
141,chris scammell,1
142,andrea_miotti,1
143,roman leventov,1
144,arun jose,1
145,johannes treutlein,1
146,daphne_w,1
147,paul colognese,1
148,andrei alexandru,1
149,michaeleinhorn,1
150,adamgleave,1
151,scott emmons,1
152,claudia shi,1
153,adam scholl,1
154,maxra,1
155,jaspergeh,1
156,yannick_muehlhaeuser,1
157,michele campolo,1
158,megan kinniment,1
159,pablo villalobos,1
160,elandgre,1
161,oam patel,1
162,robert kirk,1
163,johannes c. mayer,1
164,jasonbrown,1
165,alyssa vance,1
166,nicholas schiefer,1
167,lovre,1
168,technicalities,1
169,kaj sotala,1
170,tomek korbak,1
171,adrià garriga-alonso,1
172,pablo antonio moreno casares,1
173,aniruddha nrusimha,1
174,tony barrett,1
175,rauno arike,1
176,justinshovelain,1
177,joar skalse,1
178,fabian schimpf,1
179,lukas fluri,1
180,nate thomas,1
181,mantas mazeika,1
182,william saunders,1
183,yonadav shavit,1
184,ryan kidd,1
185,victor warlop,1
186,aryeh englander,1
187,wei dai,1
188,joe_collman,1
189,lukas finnveden,1
190,veedrac,1
191,1a3orn,1
192,kevinrowang,1
193,thomas kehrenberg,1
194,joshuaoshickman,1
195,gwern,1
196,matthew barnett,1
197,derek shiller,1
