,titles,authors
0,Welcome & FAQ!,"Ruben Bloom, Oliver Habryka"
1,Clarifying the Agent-Like Structure Problem,johnswentworth
2,Where I currently disagree with Ryan Greenblatt’s version of the ELK approach,Nate Soares
3,It matters when the first sharp left turn happens,Adam Jermyn
4,Builder/Breaker for Deconfusion,Abram Demski
5,A Library and Tutorial for Factored Cognition with Language Models,"Andreas Stuhlmüller, Luke Stebbing, justin_dan, goodgravy"
6,Threat-Resistant Bargaining Megapost: Introducing the ROSE Value,Diffractor
7,My Thoughts on the ML Safety Course,zeshen
8,[MLSN #5]: Prize Compilation,Dan Hendrycks
9,Inverse Scaling Prize: Round 1 Winners,"Ethan Perez, Ian McKenzie"
10,Brief Notes on Transformers,Adam Jermyn
11,Planning capacity and daemons,Luke H Miles
12,Attempts at Forwarding Speed Priors,"james.lucassen, Evan Hubinger"
13,Interpreting Neural Networks through the Polytope Lens,"Sid Black, Lee Sharkey, Connor Leahy, Beren Millidge, CRG, merizian, EricWinsor, Dan Braun"
14,Interlude: But Who Optimizes The Optimizer?,Paul Bricman
15,Methodological Therapy: An Agenda For Tackling Research Bottlenecks,"Adam Shimi, Lucas Teixeira, remember"
16,Toy Models of Superposition,Evan Hubinger
17,"Announcing AISIC 2022 - the AI Safety Israel Conference, October 19-20",David Manheim
18,"Nearcast-based ""deployment problem"" analysis",HoldenKarnofsky
19,Towards deconfusing wireheading and reward maximization,leogao
20,Doing oversight from the very start of training seems hard,Peter Barnett
21,PIBBSS (AI alignment) is hiring for a Project Manager,Nora_Ammann
22,The Inter-Agent Facet of AI Alignment,Michael Oesterle
23,Summaries: Alignment Fundamentals Curriculum,Leon Lang
24,Inner alignment: what are we pointing at?,Luke H Miles
25,Refine's Third Blog Post Day/Week,Adam Shimi
26,Prize and fast track to alignment research at ALTER,Vanessa Kosoy
27,Takeaways from our robust injury classifier project [Redwood Research],DMZ
28,Refine Blogpost Day #3: The shortforms I did write,Self-Embedded Agent
29,Levels of goals and alignment,zeshen
30,ordering capability thresholds,Tamsin Leake
31,Representational Tethers: Tying AI Latents To Human Ones,Paul Bricman
32,The case for why AGI safety researchers should focus (more/mostly) on deceptive alignment,Marius Hobbhahn
33,Coordinate-Free Interpretability Theory,johnswentworth
34,When is intent alignment sufficient or necessary to reduce AGI conflict? ,"JesseClifton, Samuel Dylan Martin, Anthony DiGiovanni"
35,When would AGIs engage in conflict?,"JesseClifton, Samuel Dylan Martin, Anthony DiGiovanni"
36,When does technical work to reduce AGI conflict make a difference?: Introduction,"JesseClifton, Samuel Dylan Martin, Anthony DiGiovanni"
37,The Defender’s Advantage of Interpretability,Marius Hobbhahn
38,Some ideas for epistles to the AI ethicists,Charlie Steiner
39,Trying to find the underlying structure of computational systems,Matthias G. Mayer
40,"New tool for exploring EA Forum, LessWrong and Alignment Forum - Tree of Tags",Filip Sondej
41,[Linkpost] A survey on over 300 works about interpretability in deep networks,Stephen Casper
42,Ideological Inference Engines: Making Deontology Differentiable*,Paul Bricman
43,Quintin's alignment papers roundup - week 1,Quintin Pope
44,Path dependence in ML inductive biases,"Vivek Hebbar, Evan Hubinger"
45,Ought will host a factored cognition “Lab Meeting”,"jungofthewon, Andreas Stuhlmüller"
46,Evaluations project @ ARC is hiring a researcher and a webdev/engineer,Beth Barnes
47,Oversight Leagues: The Training Game as a Feature,Paul Bricman
48,Understanding and avoiding value drift,Alex Turner
49,Most People Start With The Same Few Bad Ideas,johnswentworth
50,Monitoring for deceptive alignment,Evan Hubinger
51,[An email with a bunch of links I sent an experienced ML researcher interested in learning about Alignment / x-safety.],David Scott Krueger
52,"What Should AI Owe To Us?
Accountable and Aligned AI Systems via Contractualist AI Alignment",Xuan (Tan Zhi Xuan)
53,Linkpost: Github Copilot productivity experiment,Daniel Kokotajlo
54,AI-assisted list of ten concrete alignment things to do right now,Luke H Miles
55,Framing AI Childhoods,David Udell
56,The shard theory of human values,"Quintin Pope, Alex Turner"
57,AXRP Episode 18 - Concept Extrapolation with Stuart Armstrong,DanielFilan
58,An Update on Academia vs. Industry (one year into my faculty job),David Scott Krueger
59,We may be able to see sharp left turns coming,"Ethan Perez, Neel Nanda"
60,Behaviour Manifolds and the Hessian of the Total Loss - Notes and Criticism,Spencer Becker-Kahn
61,Sticky goals: a concrete experiment for understanding deceptive alignment,Evan Hubinger
62,Simulators,janus
63,Replacement for PONR concept,Daniel Kokotajlo
64,AI coordination needs clear wins,Evan Hubinger
65,"AI Safety and Neighboring Communities: A Quick-Start Guide, as of Summer 2022",Sam Bowman
66,Gradient Hacker Design Principles From Biology,johnswentworth
67,"Infra-Exercises, Part 1","Diffractor, Jack Parker, Connall Garrod"
68,Strategy For Conditioning Generative Models,"james.lucassen, Evan Hubinger"
69,Survey of NLP Researchers: NLP is contributing to AGI progress; major catastrophe plausible,Sam Bowman
70,Worlds Where Iterative Design Fails,johnswentworth
71,How likely is deceptive alignment?,Evan Hubinger
72,*New* Canada AI Safety & Governance community,Wyatt Tessari L'Allié
73,How might we align transformative AI if it’s developed very soon?,HoldenKarnofsky
74,(My understanding of) What Everyone in Technical Alignment is Doing and Why,"Thomas Larsen, elifland"
75,Basin broadness depends on the size and number of orthogonal features,"TheMcDouglas, Avery, Lucius Bushnaq"
76,Annual AGI Benchmarking Event,Lawrence Phillips
77,Some conceptual alignment research projects,Richard Ngo
78,A Test for Language Model Consciousness,Ethan Perez
79,AI strategy nearcasting,HoldenKarnofsky
80,Common misconceptions about OpenAI,Jacob Hilton
81,Your posts should be on arXiv,JanBrauner
82,What Makes A Good Measurement Device?,johnswentworth
83,Google AI integrates PaLM with robotics: SayCan update [Linkpost],Evan R. Murphy
84,Vingean Agency,Abram Demski
85,Beliefs and Disagreements about Automating Alignment Research,Ian McKenzie
86,Interspecies diplomacy as a potentially productive lens on AGI alignment,Shariq Hashme
87,"Ethan Perez on the Inverse Scaling Prize, Language Feedback and Red Teaming",Michaël Trazzi
88,AGI Timelines Are Mostly Not Strategically Relevant To Alignment,johnswentworth
89,AI alignment as “navigating the space of intelligent behaviour”,Nora_Ammann
90,Finding Goals in the World Model,"Jeremy Gillen, JamesH, Thomas Larsen"
91,AXRP Episode 17 - Training for Very High Reliability with Daniel Ziegler,DanielFilan
92,Broad Picture of Human Values,Thane Ruthenis
93,Refine's Second Blog Post Day,Adam Shimi
94,No One-Size-Fit-All Epistemic Strategy,Adam Shimi
95,What if we approach AI safety like a technical engineering safety problem,zeshen
96,PreDCA: vanessa kosoy's alignment protocol,Tamsin Leake
97,Benchmarking Proposals on Risk Scenarios,Paul Bricman
98,"Reducing Goodhart: Announcement, Executive Summary",Charlie Steiner
99,Less Threat-Dependent Bargaining Solutions?? (3/2),Diffractor
100,"How to do theoretical research, a personal perspective",Mark Xu
101,Epistemic Artefacts of (conceptual) AI alignment research,Nora_Ammann
102,Discovering Agents,Zachary Kenton
103,"Announcing Encultured AI: 
Building a Video Game","Andrew Critch, Nick Hay"
104,Concrete Advice for Forming Inside Views on AI Safety,Neel Nanda
105,"Conditioning, Prompts, and Fine-Tuning",Adam Jermyn
106,The Core of the Alignment Problem is...,"Thomas Larsen, Jeremy Gillen, JamesH"
107,Human Mimicry Mainly Works When We’re Already Close,johnswentworth
108,The longest training run,"Jaime Sevilla, Tamay Besiroglu, Owen Dudney, Anson Ho"
109,Autonomy as taking responsibility for reference maintenance,Ramana Kumar
110,"What's General-Purpose Search, And Why Might We Expect To See It In Trained ML Systems?",johnswentworth
111,Seeking Interns/RAs for Mechanistic Interpretability Projects,Neel Nanda
112,A Mechanistic Interpretability Analysis of Grokking,"Neel Nanda, Tom Lieberum"
113,All the posts I will never write,Self-Embedded Agent
114,"Brain-like AGI project ""aintelope"" ",Gunnar Zarncke
115,A brief note on Simplicity Bias,Spencer Becker-Kahn
116,Evolution is a bad analogy for AGI: inner alignment,Quintin Pope
117,An extended rocket alignment analogy,remember
118,Refine's First Blog Post Day,Adam Shimi
119,The Dumbest Possible Gets There First,Artaxerxes
120,I missed the crux of the alignment problem the whole time,zeshen
121,goal-program bricks,Tamsin Leake
122,Shapes of Mind and Pluralism in Alignment,Adam Shimi
123,How I think about alignment,Linda Linsefors
124,Steelmining via Analogy,Paul Bricman
125,the Insulated Goal-Program idea,Tamsin Leake
126,Gradient descent doesn't select for inner search,Ivan Vendrov
127,DeepMind alignment team opinions on AGI ruin arguments,Victoria Krakovna
128,Oversight Misses 100% of Thoughts The AI Does Not Think,johnswentworth
129,Refining the sharp left turn threat model,"Victoria Krakovna, Vikrant Varma, Ramana Kumar, Mary Phuong"
130,"Seriously, what goes wrong with ""reward the agent when it makes you smile""?Q","Alex Turner, johnswentworth"
131,"Encultured AI Pre-planning, Part 2: 
Providing a Service","Andrew Critch, Nick Hay"
132,Language models seem to be much better than humans at next-token prediction,"Buck Shlegeris, Fabien, Lawrence Chan"
133,Shard Theory: An Overview,David Udell
134,The alignment problem from a deep learning perspective,Richard Ngo
135,How much alignment data will we need in the long run?,Jacob Hilton
136,"How Do We Align an AGI Without Getting Socially Engineered? 
(Hint: Box It)","Peter S. Park, NickyP, Stephen Fowler"
137,How To Go From Interpretability To Alignment: Just Retarget The Search,johnswentworth
138,Announcing: Mechanism Design for AI Safety - Reading Group,Rubi J. Hudson
139,General alignment properties,Alex Turner
140,"Encultured AI, Part 1 Appendix: Relevant Research Examples","Andrew Critch, Nick Hay"
141,"Encultured AI Pre-planning, Part 1: 
Enabling New Benchmarks","Andrew Critch, Nick Hay"
142,Interpretability/Tool-ness/Alignment/Corrigibility are not Composable,johnswentworth
143,Steganography in Chain of Thought Reasoning,Alex Gray
144,A Data limited future,Donald Hobson
145,Announcing the Introduction to ML Safety course,"Dan Hendrycks, ThomasW, Oliver Zhang"
146,Rant on Problem Factorization for Alignment,johnswentworth
147,Counterfactuals are Confusing because of an Ontological Shift,Chris_Leong
148,Bridging Expected Utility Maximization and Optimization,Daniel Herrmann
149,$20K In Bounties for AI Safety Public Materials,"Dan Hendrycks, ThomasW, Oliver Zhang"
150,Convergence Towards World-Models: A Gears-Level Model,Thane Ruthenis
151,The Pragmascope Idea,johnswentworth
152,Precursor checking for deceptive alignment,Evan Hubinger
153,Externalized reasoning oversight: a research direction for language model alignment,tamera
154,Law-Following AI 4: Don't Rely on Vicarious Liability,Cullen_OKeefe
155,Two-year update on my personal AI timelines,Ajeya Cotra
156,chinchilla's wild implications,nostalgebraist
157,How transparency changed over time,ViktoriaMalyasova
158,Humans Reflecting on HRH,leogao
159,Comparing Four Approaches to Inner Alignment,Lucas Teixeira
160,Conjecture: Internal Infohazard Policy,"Connor Leahy, Sid Black, Chris Scammell, Andrea_Miotti"
161,Abstracting The Hardness of Alignment: Unbounded Atomic Optimization,Adam Shimi
162,Principles of Privacy for Alignment Research,johnswentworth
163,Moral strategies at different capability levels,Richard Ngo
164,Levels of Pluralism,Adam Shimi
165,Unifying Bargaining Notions (2/2),Diffractor
