,titles,authors,dates
0,An Unexpected GPT-3 Decision in a Simple Gamble ,hatta_afiq,5m
1,"""Agency"" needs nuance",Evie Cottrell,9h
2,A type of CBT I find especially useful: ACT,Evie Cottrell,9h
3,Bathroom Construction Cost Comparison,jefftk,14h
4,Prioritizing the Arts in response to AI automation,Casey,14h
5,UI/UX From the Dark Ages,shminux,15h
6,First Principles for AI?,Chris Lengerich,16h
7,Everybody Comes Back,Alex Beyman,17h
8,Papers to start getting into NLP-focused alignment researchQ,Feraidoon,17h
9,AI coöperation is more possible than you think,423175,19h
10,"""Cotton Gin"" AI Risk",423175,19h
11,Two reasons we might be closer to solving alignment than it seems,"KatWoods, AmberDawn",21h
12,Orexin and the quest for more waking hours,ChristianKl,21h
13,Attempts at Forwarding Speed PriorsΩ,"james.lucassen, evhub",1d
14,"Announcing $5,000 bounty for ending malaria",lc,2d
15,Why Do AI researchers Rate the Probability of Doom So Low?Q,Aorou,2d
16,"Brain-over-body biases, and the embodied value problem in AI alignment",geoffreymiller,18h
17,Opt out from the Funni,Coafos,19h
18,AI Safety Discord community (requesting help!),Casey,1d
19,"I'm planning to start creating more write-ups summarizing my thoughts on various issues, mostly related to AI existential safety.  

What do you want to hear my nuanced takes on?Q",David Scott Krueger (formerly: capybaralet),1d
20,Set List Approaches,jefftk,2d
21,A ranked link of LessWrong tags/concepts,peterslattery,2d
22,Posts with clickable sections of images?Q,NoBadCake,2d
23,Under what circumstances have governments cancelled AI-type systems?,David Gross,2d
24,There are no rules,unoptimal,2d
25,Interpreting Neural Networks through the Polytope LensΩ,"Sid Black, Lee Sharkey, Connor Leahy, beren, CRG, merizian, EricWinsor, Dan Braun",2d
26,The heterogeneity of human value types: Implications for AI alignment,geoffreymiller,2d
27,How to use DMT without going insane: On navigating epistemic uncertainty in the DMT memeplex,cube_flipper,2d
28,Shahar Avin On How To Regulate Advanced AI Systems,Michaël Trazzi,2d
29,Interlude: But Who Optimizes The Optimizer?,Paul Bricman,2d
30,Why do som many things break in a 2 element set?,OldManNick,2d
31,Intelligence as a Platform,Robert Kennedy,2d
32,"Public-facing Censorship Is Safety Theater, Causing Reputational Damage ",Yitz,2d
33,A game of mattering,KatjaGrace,3d
34,Making Prunes,jefftk,3d
35,Funding is All You Need: Getting into Grad School by Hacking the NSF GRFP Fellowship,hapanin,3d
36,What Do AI Safety Pitches Not Get About Your Field?Q,Aris,3d
37,"""Free Will"" in a Computational Universe",DragonGod,3d
38,"Initial Thoughts on Dissolving ""Couldness""",DragonGod,3d
39,Let's Compare Notes,Shos Tekofsky,3d
40,Methodological Therapy: An Agenda For Tackling Research BottlenecksΩ,"adamShimi, Lucas Teixeira, remember",3d
41,Fake qualities of mind,Kaj_Sotala,3d
42,Dath Ilan's Views on Stopgap Corrigibility,David Udell,3d
43,AI Risk Intro 2: Solving The Problem,"TheMcDouglas, LRudL",3d
44,Understanding Infra-Bayesianism: A Beginner-Friendly Video Series,"Jack Parker, Connall Garrod",3d
45,Is the game design/art maxim more generalizable to criticism/praise itself?Q,Noosphere89,3d
46,Mathematical Circuits in Neural Networks,Sean Osier,4d
47,"Berkeley group house, spots open",Jack R,3d
48,Ukraine Post #12,Zvi,3d
49,Covid 9/22/22: The Joe Biden Sings,Zvi,3d
50,AI careerQ,ondragon,4d
51,Here Be AGI Dragons,Oren Montano,4d
52,An issue with MacAskill's Evidentialist's Wager,Martín Soto,4d
53,"Nearcast-based ""deployment problem"" analysisΩ",HoldenKarnofsky,4d
54,Scraping training data for your mind,Henrik Karlsson,4d
55,Trends in Training Dataset Sizes,Pablo Villalobos,4d
56,"Can you define ""utility"" in utilitarianism without using words for specific human emotions?Q",SurvivalBias,5d
57,"""Infohazards"" The ML Field's Greatest Excuse.",Puffy Bird,5d
58,Case Rates to Sequencing Reads,jefftk,5d
59,Towards deconfusing wireheading and reward maximizationΩ,leogao,5d
60,What key nutrients are required for daily energy?Q,Trevor1,5d
61,"Announcing AISIC 2022 - the AI Safety Israel Conference, October 19-20Ω",Davidmanheim,4d
62,Quantified Intuitions: An epistemics training website including a new EA-themed calibration app,"Sage Future, elifland",5d
63,The Redaction Machine,Ben,5d
64,You Are Not Measuring What You Think You Are Measuring,johnswentworth,1d
65,What happened to the idea of progress?,jasoncrawford,5d
66,Features and Antifeatures,Davis_Kingsley,5d
67,Cryptocurrency Exploits Show the Importance of Proactive Policies for AI X-Risk,eSpencer,5d
68,Alignment Org Cheat Sheet,"Akash, Thomas Larsen",5d
69,Doing oversight from the very start of training seems hardΩ,peterbarnett,5d
70,"$13,000 of prizes for changing our mind about who to fund (Clearer Thinking Regrants Forecasting Tournament)",spencerg,5d
71,"Progress links and tweets, 2022-09-20",jasoncrawford,5d
72,"If we have Human-level chatbots, won't we end up being ruled by possible people?Q",Erlja Jkdf.,5d
73,Twitter Polls: Evidence is Evidence,Zvi,5d
74,Some of the most important entrepreneurship skills are tacit knowledge,Ruhul,5d
75,Character alignment,p.b.,5d
76,Losing the root for the tree,Adam Zerner,6d
77,How to make your CPU as fast as a GPU - Advances in Sparsity w/ Nir Shavit,the gears to ascenscion,6d
78,Do bamboos set themselves on fire?,Malmesbury,6d
79,Quintin's alignment papers roundup - week 2,Quintin Pope,6d
80,Some notes on solving hard problems,Joe Rocca,6d
81,Safety timelines: How long will it take to solve alignment?,"Esben Kran, JonathanRystroem, Steinthal, Apart Research",6d
82,The ELK Framing I’ve Used,sudo -i,6d
83,Quick Book Review: Crucial Conversations,G Gordon Worley III,6d
84,How my team at Lightcone sometimes gets stuff done,jacobjacob,6d
85,EA & LW Forums Weekly Summary (12 - 18 Sep '22),Zoe Williams,6d
86,Prize idea: Transmit MIRI and Eliezer's worldviews,elifland,6d
87,Rationality Dojo Berlin Handout,UnplannedCauliflower,6d
88,A noob goes to the SERI MATS presentations,Lowell Dennings,6d
89,PIBBSS (AI alignment) is hiring for a Project ManagerΩ,Nora_Ammann,6d
90,Book Swap,Screwtape,7d
91,Pretending not to Notice,jefftk,7d
