,titles,authors
0,"Training language models to follow
instructions with human feedback","Long Ouyang, Jeff Wu, Xu Jiang, Diogo Almeida, Carroll L. Wainwright, Pamela Mishkin, Chong Zhang, Sandhini Agarwal, Katarina Slama, Alex Ray, John Schulman, Jacob Hilton, Fraser Kelton, Luke Miller, Maddie Simens, Amanda Askell, Peter Welinder, Paul Christiano, Jan Leike, Ryan Lowe"
1,"WebGPT: Browser-assisted question-
answering with human feedback","Reiichiro Nakano, Jacob Hilton, Suchir Balaji, Jeff Wu, Long Ouyang, Christina Kim, Christopher Hesse, Shantanu Jain, Vineet Kosaraju, William Saunders, Xu Jiang, Karl Cobbe, Tyna Eloundou, Gretchen Krueger, Kevin Button, Matthew Knight, Benjamin Chess, John Schulman"
2,Recursively Summarizing Books with Human Feedback,"Jeff Wu, Long Ouyang, Daniel M. Ziegler, Nisan Stiennon, Ryan Lowe, Jan Leike, Paul Christiano"
3,"Process for Adapting Language Models to
Society (PALMS) with Values-Targeted Datasets","Irene Solaiman, Christy Dennison"
4,"Understanding the Capabilities, Limitations,
and Societal Impact of Large Language Models","Alex Tamkin, Miles Brundage, Jack Clark, Deep Ganguli"
5,Learning to Summarize from Human Feedback,"Nisan Stiennon, Long Ouyang, Jeff Wu, Daniel M. Ziegler, Ryan Lowe, Chelsea Voss, Alec Radford, Dario Amodei, Paul Christiano"
6,"Toward Trustworthy AI Development:
Mechanisms for Supporting Verifiable Claims","Miles Brundage, Shahar Avin, Jasmine Wang, Haydn Belfield, Gretchen Krueger, Gillian Hadfield, Heidy Khlaaf, Jingying Yang, Helen Toner, Ruth Fong, Tegan Maharaj, Pang Wei Koh, Sara Hooker, Jade Leung, Andrew Trask, Emma Bluemke, Jonathan Lebensold, Cullen O'Keefe, Mark Koren, Théo Ryffel, JB Rubinovitz, Tamay Besiroglu, Federica Carugati, Jack Clark, Peter Eckersley, Sarah de Haas, Maritza Johnson, Ben Laurie, Alex Ingerman, Igor Krawczuk, Amanda Askell, Rosario Cammarota, Andrew Lohn, David Krueger, Charlotte Stix, Peter Henderson, Logan Graham, Carina Prunkl, Bianca Martin, Elizabeth Seger, Noa Zilberman, Seán Ó hÉigeartaigh, Frens Kroeger, Girish Sastry, Rebecca Kagan, Adrian Weller, Brian Tse, Elizabeth Barnes, Allan Dafoe, Paul Scharre, Ariel Herbert-Voss, Martijn Rasser, Shagun Sodhani, Carrick Flynn, Thomas Krendl Gilbert, Lisa Dyer, Saif Khan, Yoshua Bengio, Markus Anderljung"
7,"Benchmarking Safe Exploration
in Deep Reinforcement Learning","Alex Ray, Joshua Achiam, Dario Amodei"
8,"Release Strategies and the Social
Impacts of Language Models","Irene Solaiman, Miles Brundage, Jack Clark, Amanda Askell, Ariel Herbert-Voss, Jeff Wu, Alec Radford, Gretchen Krueger, Jong Wook Kim, Sarah Kreps, Miles McCain, Alex Newhouse, Jason Blazakis, Kris McGuffie, Jasmine Wang"
9,Fine-Tuning Language Models from Human Preferences,"Daniel M. Ziegler, Nisan Stiennon, Jeffrey Wu, Tom B. Brown, Alec Radford, Dario Amodei, Paul Christiano, Geoffrey Irving"
10,Testing Robustness Against Unforeseen Adversaries,"Daniel Kang, Yi Sun, Dan Hendrycks, Tom Brown, Jacob Steinhardt"
11,The Role of Cooperation in Responsible AI Development,"Amanda Askell, Miles Brundage, Gillian Hadfield"
12,Supervising Strong Learners by Amplifying Weak Experts,"Paul Christiano, Buck Shlegeris, Dario Amodei"
13,AI Safety via Debate,"Geoffrey Irving, Paul Christiano, Dario Amodei"
14,"The Malicious Use of Artificial Intelligence:
Forecasting, Prevention, and Mitigation","Miles Brundage, Shahar Avin, Jack Clark, Helen Toner, Peter Eckersley, Ben Garfinkel, Allan Dafoe, Paul Scharre, Thomas Zeitzoff, Bobby Filar, Hyrum Anderson, Heather Roff, Gregory C. Allen, Jacob Steinhardt, Carrick Flynn, Seán Ó hÉigeartaigh, Simon Beard, Haydn Belfield, Sebastian Farquhar, Clare Lyle, Rebecca Crootof, Owain Evans, Michael Page, Joanna Bryson, Roman Yampolskiy, Dario Amodei"
15,Deep reinforcement learning from human preferences,"Paul Christiano, Jan Leike, Tom B. Brown, Miljan Martic, Shane Legg, Dario Amodei"
16,Adversarial Attacks on Neural Network Policies,"Sandy Huang, Nicolas Papernot, Ian Goodfellow, Yan Duan, Pieter Abbeel"
17,"Adversarial Training Methods for
Semi-Supervised Text Classification","Takeru Miyato, Andrew M. Dai, Ian Goodfellow"
18,Concrete Problems in AI Safety,"Dario Amodei, Chris Olah, Jacob Steinhardt, Paul Christiano, John Schulman, Dan Mané"
19,OpenAI Gym,"Greg Brockman, Vicki Cheung, Ludwig Pettersson, Jonas Schneider, John Schulman, Jie Tang, Wojciech Zaremba"
